영문공항명,한글공항,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Mobile Regional Airport,모빌 공항,MOB,KMOB,북미캐나다,United States,미국,Mobile
Montes Claros/Mario Ribeiro Airport,몬테스 클라로스/마리오 리베이루 공항,MOC,SBMK,중남미,Brazil,브라질,Montes Claros
Modesto City County Airport,모데스토 시티 카운티 공항,MOD,KMOD,북미캐나다,United States,미국,Modesto
Frans Seda Airport,프란스 세다 공항,MOF,WATC,아시아태평양,Indonesia,인도네시아,Maumere
Monghsat Airport,몽삿 공항,MOG,VYMS,아시아태평양,Myanmar,미얀마,MongHsat
Maleo Airport,말레오 공항,MOH,,아시아태평양,Indonesia,인도네시아,Morowali
Mitiaro Airport,미티아로 공항,MOI,NCMR,아시아태평양,Cook Islands,쿡 군도,Mitiaro Island
Molde Airport,몰데 공항,MOL,ENML,유럽,Norway,노르웨이,Molde
Moomba Airport,뭄바 공항,MOO,YOOM,대양주,Australia,오스트레일리아,Moomba
Morondava Airport,모론다바 공항,MOQ,FMMV,중동아프리카,Madagascar,마다가스카르,Morondava
Minot International Airport,미놋 국제 공항,MOT,KMOT,북미캐나다,United States,미국,Minot
Moranbah Airport,모란바 공항,MOV,YMRB,대양주,Australia,오스트레일리아,Moranbah
Moorea Airport,무레아 공항,MOZ,NTTM,아시아태평양,French Polynesia,프랑스령 폴리네시아,Moorea
Katima Mulilo Airport,카티마무릴로 공항,MPA,FYKM,중동아프리카,Namibia,나미비아,Katima Mulilo
Miami Seaplane Base ,마이애미 수상비행기 기지,MPB,,북미캐나다,United States,미국,Miami
Godofredo P. Ramos Airport,고도프레도 P. 라모스 공항,MPH,RPVE,아시아태평양,Philippines,필리핀,Caticlan
Mamitupu Airport,마미투푸 공항,MPI,,중남미,Panama,파나마,Mamitupo
Montpellier Mediterranee Airport,몽펠리에 메디테라네 공항,MPL,LFMT,유럽,France,프랑스,Montpellier
Maputo International Airport,마푸토 국제 공항,MPM,FQMA,중동아프리카,Mozambique,모잠비크,Maputo
RAF Mount Pleasant,영국왕립공군기지 마운트 플레전트,MPN,EGYP,중남미,Falkland Islands,포클랜드 제도,Mount Pleasant
Mulatupo Airport,물라투포 공항,MPP,,중남미,Panama,파나마,Mulatupo
Mariupol International Airport,마리우폴 국제 공항,MPW,UKCM,유럽,Ukraine,우크라이나,Mariupol
Magnitogorsk International Airport,마그니토고르스크 국제 공항,MQF,USCM,유럽,Russia,러시아,Magnitogorsk
Moma Airport,모마 공항,MQJ,UEMA,유럽,Russia,러시아,Khonuu
Mildura Airport,밀두라 공항,MQL,YMIA,대양주,Australia,오스트레일리아,Mildura
Mardin Airport,마르딘 공항,MQM,LTCR,유럽,Turkey,터키,Mardin
MoiRana Airport,모이나라 공항,MQN,ENRA,유럽,Norway,노르웨이,Mo i Rana
Kruger Mpumalanga International Airport,크루거 음푸말랑가 국제공항,MQP,FAKN,중동아프리카,South Africa,남아프리카,Mbombela
Moundou Airport,마운두 공항,MQQ,FTTD,중동아프리카,Chad,차드,Moundou
Sawyer International Airport,소여 국제공항,MQT,KSAW,북미캐나다,United States,미국,Marquette
Alula Aba Nega Airport,알룰라 아바 네가 공항,MQX,HAMK,중동아프리카,Ethiopia,이디오피아,Mekele
Smyrna Airport,서머나 공항,MQY,KMQY,북미캐나다,United States,미국,Smyrna
Misrata Airport,미스라타 공항,MRA,HLMS,중동아프리카,Libya,리비아,Misurata
Eastern WV Regional Airport,이스턴 WV 지역 공항,MRB,KMRB,북미캐나다,United States,미국,Martinsburg
Alberto Carnevalli Airport,알베르토 카르네발리 공항,MRD,SVMD,중남미,Venezuela,베네수엘라,Merida
Mara Serena Airport,마라 세레나 공항,MRE,HKMS,중동아프리카,Kenya,케냐,Masai Mara
Mareeba Airfield,마레바 비행장,MRG,YMBA,대양주,Australia,오스트레일리아,Mareeba
Hood Aerodrome,후드 비행장,MRO,NZMS,아시아태평양,New Zealand,뉴질랜드,Masterton
Marinduque Airport,마린두케 공항,MRQ,RPUW,아시아태평양,Philippines,필리핀,Marinduque Island
Marseille Provence Airport,마르세유 프로방스 공항,MRS,LFML,유럽,France,프랑스,Marseille
Sir Seewoosagur Ramgoolam International Airport,씨우사구르 람구람경 국제공항,MRU,FIMP,중동아프리카,Mauritius,모리셔스,Mauritius
Mineralnye Vody Airport,미네랄니에 보디 공항,MRV,URMM,유럽,Russia,러시아,Mineralnye Vody
Mahshahr Airport,마흐샤르 공항,MRX,OIAM,중동아프리카,Iran,이란,Bandar-e Mahshahr
Monterey Regional Airport,몬터레이 공항,MRY,KMRY,북미캐나다,United States,미국,Monterey
Moree Airport,모리 공항,MRZ,YMOR,대양주,Australia,오스트레일리아,Moree
Muskrat Dam Airport,머스크랫 댐 공항,MSA,CZMD,북미캐나다,Canada,캐나다,Muskrat Dam
Misawa Airport,미사와공항,MSJ,RJSM,아시아태평양,Japan,일본,Misawa
Northwest Alabama Regional Airport,노스웨스트 앨라배마 공항,MSL,KMSL,북미캐나다,United States,미국,Muscle Shoals
Dane County Regional Airport,데인 카운티 리저널 공항,MSN,KMSN,북미캐나다,United States,미국,Madison
Missoula International Airport,미줄라 국제 공항,MSO,KMSO,북미캐나다,United States,미국,Missoula
Minneapolis Saint Paul International Airport,미니애폴리스 세인트폴 국제공항,MSP,KMSP,북미캐나다,United States,미국,Minneapolis
Minsk National Airport,민스크 국립 공항,MSQ,UMMS,유럽,Belarus,벨라루시,Minsk
MuS Airport,무슈 공항,MSR,LTCK,유럽,Turkey,터키,MuS
Massena International Airport,마세나 국제공항,MSS,KMSS,북미캐나다,United States,미국,Massena
Maastricht Aachen Airport,마스트리흐트 아헨 공항,MST,EHBK,유럽,Netherlands,네덜란드,Maastricht
Moshoeshoe International Airport,모슈슈 국제공항,MSU,FXMM,중동아프리카,Lesotho,레소토,Maseru
Massawa International Airport,마사와 국제 공항,MSW,HHMS,중동아프리카,Eritrea,에리트레아,Massawa
Louis Armstrong New Orleans International Airport,루이 암스트롱 뉴올리언스 국제공항,MSY,KMSY,북미캐나다,United States,미국,New Orleans
Mocamedes Airport,모사메데스 공항,MSZ,FNMO,중동아프리카,Angola,앙골라,Namibe
MontelIbano Airport,몬테리바노 공항,MTB,SKML,중남미,Colombia,콜롬비아,MontelIbano
Selfridge Air National Guard Base,셀프리지 주 방위군 공군기지,MTC,KMTC,북미캐나다,United States,미국,Mount Clemens
Florida Keys Marathon Airport,플로리다 키스 마라톤 공항,MTH,KMTH,북미캐나다,United States,미국,Marathon
Montrose Regional Airport,몬트로즈 공항,MTJ,KMTJ,북미캐나다,United States,미국,Montrose
Makin Airport,마킨 공항,MTK,NGMN,아시아태평양,Kiribati,키리바시,Makin Island
Metlakatla Seaplane Base,메틀라카틀라 수상비행기 기지,MTM,,북미캐나다,United States,미국,Metlakatla
Martin State Airport,마틴 스테이트 공항,MTN,KMTN,북미캐나다,United States,미국,Baltimore
Montauk Airport,몬턱 공항,MTP,KMTP,북미캐나다,United States,미국,Montauk
Los Garzones Airport,로스 가조네스 공항,MTR,SKMR,중남미,Colombia,콜롬비아,MonterIa
Matsapha Airport,매츠파 공항,MTS,FDMS,중동아프리카,Eswatini,에스와티니,Manzini
Minatitlan/Coatzacoalcos International Airport,미나티틀란/코아차코알코스 국제공항,MTT,MMMT,중남미,Mexico,멕시코,Minatitlan
Mota Lava Airport,모타 라바 공항,MTV,NVSA,아시아태평양,Vanuatu,바누아투,Mota Lava
Manitowoc County Airport,매니토웍 카운티 공항,MTW,KMTW,북미캐나다,United States,미국,Manitowoc
General Mariano Escobedo International Airport,제너럴 마리아노 에스코베도 국제 공항,MTY,MMMY,중남미,Mexico,멕시코,Monterrey
Munda Airport,문다 공항,MUA,AGGM,아시아태평양,Solomon Islands,솔로몬 제도,Munda
Maun Airport,마운 공항,MUB,FBMN,중동아프리카,Botswana,보츠와나,Maun
Munich Airport,뮌헨 공항,MUC,EDDM,유럽,Germany,독일,Munich
Waimea Kohala Airport,와이메아 코할라 공항,MUE,PHMU,북미캐나다,United States,미국,Kamuela
Marsa Matruh International Airport,마르사 마트루 국제공항,MUH,HEMM,중동아프리카,Egypt,이집트,Mersa Matruh
Mauke Airport,마우케 공항,MUK,NCMK,아시아태평양,Cook Islands,쿡 군도,Mauke Island
Jose Tadeo Monagas International Airport,호세 타데오 모나가스 국제 공항,MUN,SVMT,중남미,Venezuela,베네수엘라,MaturIn
Mountain Home Air Force Base,마운틴 홈 공군 기지,MUO,KMUO,북미캐나다,United States,미국,Mountain Home
Marudi Airport,마루디 공항,MUR,WBGM,아시아태평양,Malaysia,말레이시아,Marudi
Ghriss Airport,그리스 공항,MUW,DAOV,중동아프리카,Algeria,알제리,Mascara
Multan International Airport,물탄 국제 공항,MUX,OPMT,중동아프리카,Pakistan,파키스탄,Multan
Musoma Airport,무소마 공항,MUZ,HTMU,중동아프리카,Tanzania,탄자니아,Musoma
M'Vengue El Hadj Omar Bongo Ondimba International Airport,음벵게 엘 하지,MVB,FOON,중동아프리카,Gabon,가봉,Franceville
Carrasco Gral. Cesareo L. Berisso International Airport,카라스코 그랄. 체사레오 L. 베리소 국제공항,MVD,SUMU,중남미,Uruguay,우루과이,Montevideo
Gov. Dix Sept Rosado Airport,주지사 딕스 셉트 로사도 공항,MVF,SBMS,중남미,Brazil,브라질,Mossoro
Morrisville Stowe State Airport,모리스빌 스토 스테이트 공항,MVL,KMVL,북미캐나다,United States,미국,Stowe
Fabio Alberto Leon Bentley Airport,파비오 알베르토 레온 벤틀리 공항,MVP,SKMU,중남미,Colombia,콜롬비아,MitU
Salak Airport,살락 공항,MVR,FKKL,중동아프리카,Cameroon,카메룬,Maroua
Mataiva Airport,마타이바 공항,MVT,NTGV,아시아태평양,French Polynesia,프랑스령 폴리네시아,Mataiva
Skagit Regional Airport,스카짓 지역공항,MVW,KBVS,북미캐나다,United States,미국,Burlington-Mount Vernon
Martha's Vineyard Airport,마사스 빈야드 공항,MVY,KMVY,북미캐나다,United States,미국,Marthas Vineyard
Williamson County Regional Airport,윌리엄슨 카운티 공항,MWA,KMWA,북미캐나다,United States,미국,Marion
Merowe Airport,메로웨 공항,MWE,,중동아프리카,Sudan,수단,Merowe
Maewo Naone Airport,매워 나오네 공항,MWF,NVSN,아시아태평양,Vanuatu,바누아투,Maewo
Grant County International Airport,그랜트 카운티 국제 공항,MWH,KMWH,북미캐나다,United States,미국,Moses Lake
Matak Airport,마탁 공항,MWK,WIOM,아시아태평양,Indonesia,인도네시아,Matak
Magway Airport,마그웨이 공항,MWQ,VYMW,아시아태평양,Myanmar,미얀마,Magway
Muan International Airport,무안 국제공항,MWX,RKJB,아시아태평양,South Korea,대한민국,Muan
Mwanza Airport,므완자 공항,MWZ,HTMW,중동아프리카,Tanzania,탄자니아,Mwanza
Andi Jemma Airport,안디 젬마 공항,MXB,WAWM,아시아태평양,Indonesia,인도네시아,Masamba
Moro Airport,모로 공항,MXH,AYMR,아시아태평양,Papua New Guinea,파푸아뉴기니,Moro
Mati Airport,마티 공항,MXI,RPMQ,아시아태평양,Philippines,필리핀,Mati
Minna Airport,민나 공항,MXJ,DNMN,중동아프리카,Nigeria,나이지리아,Minna
General Rodolfo Sanchez Taboada International Airport,제너럴 로돌포 산체스 타보아다 국제공항,MXL,MMML,중남미,Mexico,멕시코,Mexicali
Morombe Airport,모롬베 공항,MXM,FMSR,중동아프리카,Madagascar,마다가스카르,Morombe
Morlaix Ploujean Airport,모를레,MXN,LFRU,유럽,France,프랑스,Morlaix
Monticello Regional Airport,몬티첼로 공항,MXO,KMXO,북미캐나다,United States,미국,Monticello
Milan Malpensa Airport,밀라노 말펜사 공항,MXP,LIMC,유럽,Italy,이탈리아,Milan
Maota Airport,마오타 공항,MXS,NSMA,아시아태평양,Samoa,사모아,Maota
Maintirano Airport,마인티라노 공항,MXT,FMMO,중동아프리카,Madagascar,마다가스카르,Maintirano
Mrn Airport,뫼뢴 공항,MXV,ZMMN,아시아태평양,Mongolia,몽골,Moron
Mora Siljan Airport,모라 실리안 공항,MXX,ESKM,유럽,Sweden,스웨덴,Mora
Meixian Airport,메이셴 공항,MXZ,ZGMX,아시아태평양,China,중국,Meixian
Moruya Airport,모루야 공항,MYA,YMRY,대양주,Australia,오스트레일리아,Moruya
Mariscal Sucre Airport,마리스칼 수크레 공항,MYC,SVBS,중남미,Venezuela,베네수엘라,Maracay
Malindi Airport,말린디 공항,MYD,HKML,중동아프리카,Kenya,케냐,Malindi
Miyakejima Airport,미야케지마 공항,MYE,RJTQ,아시아태평양,Japan,일본,Miyakejima
Mayaguana Airport,마야과나 공항,MYG,MYMM,중남미,Bahamas,바하마,Mayaguana
Murray Island Airport,머레이 아일랜드 공항,MYI,YMAE,대양주,Australia,오스트레일리아,Murray Island
Matsuyama Airport,마쓰야마 공항,MYJ,RJOM,아시아태평양,Japan,일본,Matsuyama
Mary International Airport,메리 국제 공항,MYP,UTAM,아시아태평양,Turkmenistan,투르크메니스탄,Mary
Mysore Airport,마이소르 공항,MYQ,VOMY,아시아태평양,India,인도,Mysore
Myrtle Beach International Airport,머틀 비치 국제 공항,MYR,KMYR,북미캐나다,United States,미국,Myrtle Beach
Myitkyina Airport,미트키나 공항,MYT,VYMK,아시아태평양,Myanmar,미얀마,Myitkyina
Mekoryuk Airport,메코류크 공항,MYU,PAMY,북미캐나다,United States,미국,Mekoryuk
Mtwara Airport,음트와라 공항,MYW,HTMT,중동아프리카,Tanzania,탄자니아,Mtwara
Miri Airport,미리 공항,MYY,WBGR,아시아태평양,Malaysia,말레이시아,Miri
Monkey Bay Airport,몽키 베이 공항,MYZ,FWMY,중동아프리카,Malawi,말라위,Monkey Bay
Manuel Prado Ugarteche Airport,마누엘 프라도 우가르테체 공항,MZA,,중남미,PerU,페루,Mazamari
MocImboa da Praia Airport,모킴보아드프라이아 공항,MZB,FQMP,중동아프리카,Mozambique,모잠비크,MocImboa da Praia
Magong Airport,마공 공항,MZG,RCQC,아시아태평양,Taiwan,대만,Magong
Amasya Merzifon Airport,아마시야 메르지폰 공항,MZH,LTAP,유럽,Turkey,터키,Merzifon
Mopti Airport,몹티 공항,MZI,GAMB,중동아프리카,Mali,말리,Mopti
Pinal Airpark,피날 에어파크,MZJ,KMZJ,북미캐나다,United States,미국,Marana
Marakei Airport,마라케이 공항,MZK,NGMK,아시아태평양,Kiribati,키리바시,Marakei
La Nubia Airport,라 누비아 공항,MZL,SKMZ,중남미,Colombia,콜롬비아,Manizales
Sierra Maestra Airport,시에라 마에스트라 공항,MZO,MUMZ,중남미,Cuba,쿠바,Manzanillo
Mkuze Airport,음쿠제 공항,MZQ,FAMU,중동아프리카,South Africa,남아프리카,Mkuze
Mazar e Sharif International Airport,마자르에 샤리프 국제공항,MZR,OAMS,중동아프리카,Afghanistan,아프가니스탄,Mazar-i-Sharif
General Rafael Buelna International Airport,제너럴 라파엘 부엘나 국제공항,MZT,MMMZ,중남미,Mexico,멕시코,Mazatlan
Muzaffarpur Airport,무자파르푸르 공항,MZU,VEMZ,아시아태평양,India,인도,Muzaffarpur
Mulu Airport,물루 공항,MZV,WBMU,아시아태평양,Malaysia,말레이시아,Mulu
Mecheria Airport,메체리아 공항,MZW,DAAY,중동아프리카,Algeria,알제리,Mecheria
Narrabri Airport,나라브리 공항,NAA,YNBR,대양주,Australia,오스트레일리아,Narrabri
Naracoorte Airport,나라쿠르테 공항,NAC,YNRC,대양주,Australia,오스트레일리아,Naracoorte
Dr. Babasaheb Ambedkar International Airport,암베드카 국제공항,NAG,VANP,아시아태평양,India,인도,Nagpur
Naha Airport,나하 공항,NAH,WAMH,아시아태평양,Indonesia,인도네시아,Tahuna
Nakhchivan International Airport,나흐치반 국제공항,NAJ,UBBN,아시아태평양,Azerbaijan,아제르바이잔,Nakhchivan
Nakhon Ratchasima Airport,나콘랏차시마 공항,NAK,VTUQ,아시아태평양,Thailand,태국,Nakhon Ratchasima
Nalchik Airport,날치크 공항,NAL,URMN,유럽,Russia,러시아,Nalchik
Namlea Airport,남리 공항,NAM,WAPR,아시아태평양,Indonesia,인도네시아,Namlea
Nadi International Airport,난디 국제 공항,NAN,NFFN,아시아태평양,Fiji,피지,Nadi
Nanchong Gaoping Airport,난충 가오핑 공항,NAO,ZUNC,아시아태평양,China,중국,Nanchong
Naples International Airport,나폴리 국제 공항,NAP,LIRN,유럽,Italy,이탈리아,Naples
Qaanaaq Airport,카나아크 공항,NAQ,BGQQ,유럽,Greenland,그린란드,Qaanaaq
Lynden Pindling International Airport,린든 핀들링 국제 공항,NAS,MYNN,중남미,Bahamas,바하마,Nassau
Greater Natal International Airport,그레이터 나탈 국제공항,NAT,SBSG,중남미,Brazil,브라질,Natal
Napuka Airport,나푸카 공항,NAU,NTGN,아시아태평양,French Polynesia,프랑스령 폴리네시아,Napuka
NevSehir Kapadokya Airport,네브셰히르 카파도키아 공항,NAV,LTAZ,유럽,Turkey,터키,NevSehir
Narathiwat Airport,나라티왓 공항,NAW,VTSC,아시아태평양,Thailand,태국,Narathiwat
Beijing Nanyuan Airport,베이징 난위안 공항,NAY,ZBNY,아시아태평양,China,중국,Beijing
Begishevo Airport,베기셰보 공항,NBC,UWKE,유럽,Russia,러시아,Nizhnekamsk
Enfidha Hammamet International Airport,엔피다 함마메트 국제공항,NBE,DTNH,중동아프리카,Tunisia,튀니지,Enfidha
Annobon Airport,아노본 공항,NBN,,중동아프리카,Equatorial Guinea,적도 기니,DePale
Jomo Kenyatta International Airport,조모 케냐타 국제 공항,NBO,HKJK,중동아프리카,Kenya,케냐,Nairobi
Changbaishan Airport,창바이산 공항,NBS,ZYBS,아시아태평양,China,중국,Baishan
Nabire Airport,나비레 공항,NBX,WABI,아시아태평양,Indonesia,인도네시아,Nabire
North Caicos Airport,노스 케이커스 공항,NCA,MBNC,중남미,Turks and Caicos Islands,터크스케이커스 제도,North Caicos
Nice Cote d'Azur Airport,니스 코트다쥐르 공항,NCE,LFMN,유럽,France,프랑스,Nice
Sunchales Aeroclub Airport,순찰레스 에어로클럽 공항,NCJ,SAFS,중남미,Argentina,아르헨티나,Sunchales
Newcastle Airport,뉴캐슬 공항,NCL,EGNT,유럽,United Kingdom,영국,Newcastle
Chenega Bay Airport,체네가베이 공항,NCN,PFCB,북미캐나다,United States,미국,Chenega
San Carlos Airport,산 카를로스 공항,NCR,MNSC,중남미,Nicaragua,니카라과,San Carlos
Newcastle Airport,뉴캐슬 공항,NCS,FANC,중동아프리카,South Africa,남아프리카,Newcastle
Nukus Airport,누쿠스 공항,NCU,UTNN,아시아태평양,Uzbekistan,우즈베키스탄,Nukus
Annecy Haute Savoie Mont Blanc Airport,안시 몽블랑 공항,NCY,LFLP,유럽,France,프랑스,Annecy
Nouadhibou International Airport,누아디부 국제공항,NDB,GQPP,중동아프리카,Mauritania,모리타니아,Nouadhibou
Shri Guru Gobind Singh Ji Airport,스리 구루 고빈드 싱 지 공항,NDC,VAND,아시아태평양,India,인도,Nanded
Mandera Airport,만데라 공항,NDE,HKMA,중동아프리카,Kenya,케냐,Mandera
Qiqihar Sanjiazi Airport,치치하얼 산지아지 공항,NDG,ZYQQ,아시아태평양,China,중국,Qiqihar
N'Djamena International Airport,은자메나 국제공항,NDJ,FTTJ,중동아프리카,Chad,차드,N'Djamena
Namorik Airport,나모릭 공항,NDK,,아시아태평양,Marshall Islands,마샬 군도,Namdrik Atoll
Nador International Airport,나도르 국제 공항,NDR,GMMW,중동아프리카,Morocco,모로코,Nador
Rundu Airport,룬두 공항,NDU,FYRU,중동아프리카,Namibia,나미비아,Rundu
Sanday Airport,산데이 공항,NDY,EGES,유럽,United Kingdom,영국,Sanday
Necochea Airport,네코체아 공항,NEC,SAZO,중남미,Argentina,아르헨티나,Necochea
Negril Aerodrome,네그릴 비행장,NEG,MKNG,중남미,Jamaica,자메이카,Negril
Chulman Neryungri Airport,철만 네룽리 공항,NER,UELL,유럽,Russia,러시아,Neryungri
Nathong Airport,나통 공항,NEU,VLSN,아시아태평양,Laos,라오스,Xam Neua
Vance W. Amory International Airport,밴스 W. 아모리 국제 공항,NEV,TKPN,중남미,Saint Kitts and Nevis,세인트키츠네비스,Nevis
Lakefront Airport,레이크프론트 공항,NEW,KNEW,북미캐나다,United States,미국,New Orleans
Niuafo'ou Airport,니우아포우 공항,NFO,NFTO,아시아태평양,Tonga,통가,Niuafo'ou
Ningbo Lishe International Airport,닝보 리서 국제공항,NGB,ZSNB,아시아태평양,China,중국,Ningbo
Auguste George Airport,오귀스트 조지 공항,NGD,TUPA,아시아태평양,British Virgin Islands,영국령 버진아일랜드,Anegada
Ngaoundere Airport,나운데레 공항,NGE,FKKN,중동아프리카,Cameroon,카메룬,Ngaoundere
Nogliki Airport,노글리키 공항,NGK,,유럽,Russia,러시아,Nogliki
Ngala Airfield,응갈라 비행장,NGL,FANG,중동아프리카,South Africa,남아프리카,Ngala
Chubu Centrair International Airport,주부 국제공항,NGO,RJGG,아시아태평양,Japan,일본,Nagoya
Ngari Gunsa Airport,응가리쿤샤 공항,NGQ,ZUAL,아시아태평양,China,중국,Shiquanhe
Nagasaki Airport,나가사키 공항,NGS,RJFU,아시아태평양,Japan,일본,Nagasaki
RAF Northolt,영국왕립공군기지 노솔트,NHT,EGWU,유럽,United Kingdom,영국,Northolt
Nuku Hiva Airport,누쿠 히바 공항,NHV,NTMD,아시아태평양,French Polynesia,프랑스령 폴리네시아,Nuku Hiva
Nikolai Airport,니콜라이 공항,NIB,,북미캐나다,United States,미국,Nikolai
Nifty Airport,니프티 공항,NIF,YCNF,대양주,Australia,오스트레일리아,Nifty Copper Mine
Nikunau Airport,니쿠나우 공항,NIG,NGNU,아시아태평양,Kiribati,키리바시,Nikunau
Diori Hamani International Airport,디오리 하마니 국제공항,NIM,DRRN,중동아프리카,Niger,니제르,Niamey
Niau Airport,니아우 공항,NIU,NTKN,아시아태평양,French Polynesia,프랑스령 폴리네시아,Niau
Nizhnevartovsk Airport,니즈네바르토프스크 공항,NJC,USNN,유럽,Russia,러시아,Nizhnevartovsk
Al Najaf International Airport,알 나자프 국제 공항,NJF,ORNI,중동아프리카,Iraq,이라크,Al Najaf
NAF El Centro,해군항공시설 엘 센트로,NJK,,북미캐나다,United States,미국,El Centro
Nouakchott Oumtounsy International Airport,누악쇼트 움툰시 국제공항,NKC,GQNN,중동아프리카,Mauritania,모리타니아,Nouakchott
Nanjing Lukou International Airport,난징 루커우 국제공항,NKG,ZSNJ,아시아태평양,China,중국,Nanjing
Naukati Bay Seaplane Base,나우카티 베이 수상비행기 기지,NKI,,북미캐나다,United States,미국,Naukati Bay
Nkolo Fuma Airport,은콜로 푸마 공항,NKL,FZAR,중동아프리카,"Congo, Democratic Republic of",콩고 민주공화국,Kolo
Nagoya AirField,나고야 비행장,NKM,RJNA,아시아태평양,Japan,일본,Nagoya
Nukutepipi Airport,누쿠테피피 공항,NKP,,아시아태평양,French Polynesia,프랑스령 폴리네시아,Nukutepipi
Sirnak Airport,시르낙 공항,NKT,LTCV,유럽,Turkey,터키,Sirnak
Yokangassi Airport,요캉가시 공항,NKY,FCBY,중동아프리카,Republic of the Congo,콩고,Nkayi
Simon Mwansa Kapwepwe International Airport,시몬 음완사 카프웨프웨 국제공항,NLA,FLSK,중동아프리카,Zambia,잠비아,Ndola
Quetzalcoatl International Airport,케찰코아틀 국제 공항,NLD,MMNL,중남미,Mexico,멕시코,Nuevo Laredo
Darnley Island Airport,단리 아일랜드 공항,NLF,YDNI,대양주,Australia,오스트레일리아,Darnley Island
Nelson Lagoon Airport,넬슨 라군 공항,NLG,PAOU,북미캐나다,United States,미국,Nelson Lagoon
Ninglang Luguhu Airport,닝랑 루구후 공항,NLH,,아시아태평양,China,중국,Ninglang
Nikolayevsk on Amur Airport,니콜라예프스크 온 아무르 공항,NLI,UHNN,유럽,Russia,러시아,Nikolayevsk-on-Amur
Norfolk Island Airport,노퍽 아일랜드 공항,NLK,YSNF,대양주,Norfolk Island,노퍽섬(오스트레일리아),Norfolk Island
N'Dolo Airport,은돌로 공항,NLO,FZAB,중동아프리카,"Congo, Democratic Republic of",콩고 민주공화국,Kinshasa
Xinyuan Nalati Airport,신위안 날라티 공항,NLT,ZWNL,아시아태평양,China,중국,Xinyuan
Santa LucIa Air Force Base Num 1,산타 루시아 공군 기지 번호 1,NLU,MMSM,중남미,Mexico,멕시코,Santa Lucia
Mykolaiv International Airport,미콜라이우 국제 공항,NLV,UKON,유럽,Ukraine,우크라이나,Mykolaiv
Namangan Airport,나망간 공항,NMA,UTFN,아시아태평양,Uzbekistan,우즈베키스탄,Namangan
Nightmute Airport,나이트뮤트 공항,NME,PAGT,북미캐나다,United States,미국,Nightmute
Maafaru International Airport,마파루 국제공항,NMF,VRDA,아시아태평양,Maldives,몰디브,Maafaru
Nansang Airport,난상공항,NMS,VYNS,아시아태평양,Myanmar,미얀마,Nansang
Santa Ana Airport,산타아나 공항,NNB,AGGT,아시아태평양,Solomon Islands,솔로몬 제도,Santa Ana Island
Nanning Wuxu International Airport,난닝 우수 국제공항,NNG,ZGNN,아시아태평양,China,중국,Nanning
Nondalton Airport,논달튼 공항,NNL,PANO,북미캐나다,United States,미국,Nondalton
Naryan Mar Airport,나리안 마르 공항,NNM,ULAM,유럽,Russia,러시아,Naryan-Mar
Connemara Airport,코네마라 공항,NNR,EICA,유럽,Ireland,아일랜드,Spiddal
Nan Nakhon Airport,난나콘 공항,NNT,VTCN,아시아태평양,Thailand,태국,Nan
Nunukan Airport,누누칸 공항,NNX,WALF,아시아태평양,Indonesia,인도네시아,Nunukan
Nanyang Jiangying Airport,난양 장잉 공항,NNY,ZHNY,아시아태평양,China,중국,Nanyang
Nosara Airport,노사라 공항,NOB,MRNS,중남미,Costa Rica,코스타리카,Nosara
Ireland West AirportKnock,아일랜드 웨스트 에어포트 노크,NOC,EIKN,유럽,Ireland,아일랜드,Knock
Nogales International Airport,노갈레스 국제 공항,NOG,MMNG,중남미,Mexico,멕시코,Nogales
Noyabrsk Airport,노야브르스크 공항,NOJ,USRO,유럽,Russia,러시아,Noyabrsk
Nonouti Airport,노노우티 공항,NON,NGTO,아시아태평양,Kiribati,키리바시,Nonouti
Sinop Airport,시놉 공항,NOP,LTCM,유럽,Turkey,터키,Sinop
Fascene Airport,파신 공항,NOS,FMNN,중동아프리카,Madagascar,마다가스카르,Nosy Be
La Tontouta International Airport,라 톤투타 국제공항,NOU,NWWW,아시아태평양,New Caledonia,뉴칼레도니아,Noumea
Albano Machado Airport,알바노 마차도 공항,NOV,FNHU,중동아프리카,Angola,앙골라,Huambo
Spichenkovo Airport,스피첸코보 공항,NOZ,UNWW,유럽,Russia,러시아,Novokuznetsk
NAS Pensacola ,해군항공기지 펜사콜라,NPA,KNPA,북미캐나다,United States,미국,Pensacola
Hawke's Bay Airport,혹스베이 공항,NPE,NZNR,아시아태평양,New Zealand,뉴질랜드,Napier
New Plymouth Airport,뉴 플리머스 공항,NPL,NZNP,아시아태평양,New Zealand,뉴질랜드,New Plymouth
Newport State Airport,뉴포트 스테이트 공항,NPT,KUUU,북미캐나다,United States,미국,Newport
Mpanda Airport,음판다 공항,NPY,,중동아프리카,Tanzania,탄자니아,Mpanda
Presidente Peron International Airport,프레지덴테 페론 국제 공항,NQN,SAZN,중남미,Argentina,아르헨티나,Neuquen
Reyes Murillo Airport,레예스 무리요 공항,NQU,SKNQ,중남미,Colombia,콜롬비아,NuquI
Newquay Airport,뉴키 공항,NQY,EGHQ,유럽,United Kingdom,영국,Newquay
Nursultan Nazarbayev International Airport,누르술탄 나자르바예프 국제공항,NQZ,UACC,아시아태평양,Kazakhstan,카자흐스탄,Astana
Narrandera Airport,나란데라 공항,NRA,YNAR,대양주,Australia,오스트레일리아,Narrandera
